cluster,region,district,distype,subdist,ea,locality,eacode,v9,dist_new,latitude,longitude
893,8,2,1,0,69,1,802100069,Sawla / Tuna / Kalba,802,9.43818,-2.5201499
438,4,8,2,0,348,37,408200348,Ho,408,6.7337599,.38833699
852,7,15,2,0,320,1,715200321,Techiman,715,7.74755,-2.0274601
935,8,10,2,0,188,22,810200188,Yendi,810,9.4417601,-.011371
171,2,8,1,0,52,9,208100052,Gomoa East,208,5.4695501,-.41551599
640,6,5,2,0,5,2,605200005,Obuasi Municipal,605,6.1576099,-1.6561199
524,5,4,1,0,167,18,504100167,Suhum / Kraboa Coaltar,504,6.0222301,-.35812399
11,1,2,1,0,64,1,102100064,Ellembelle,102,4.98809,-2.5416801
298,3,4,3,3,108,2,304303108,AMA  -Ashiedu Keteke,304,5.5448198,-.217833
957,8,12,1,0,27,6,812100027,Tolon Kumbugu,812,9.4044199,-1.11816
287,3,4,3,2,31,7,304302031,AMA  - Ablekuma Central,304,5.5493302,-.26354501
63,1,9,1,0,41,1,109100041,Prestea / Huni Valley,109,5.3063598,-1.86996
379,3,10,1,0,121,1,310100121,Dangbe East,310,5.8400002,.610102
541,5,7,2,0,15,1,507200015,New Juaben Municipal,507,6.0697398,-.259238
608,5,18,2,0,139,13,518200139,Kwahu West,518,6.5796499,-.808999
770,6,26,1,0,108,6,626100108,Ejura Sekye Dumasi,626,7.3124299,-1.5801001
1119,10,2,2,0,49,10,1002200049,Wa Municipal,1002,10.053,-2.5375099
918,8,7,1,0,111,1,807100111,Nanumba South,807,8.7526798,.375855
777,7,1,1,0,118,6,701100118,Asunafo South,701,6.6209602,-2.4767101
466,4,12,1,0,44,8,412100044,Biakoye,412,7.2955499,.3308
616,5,20,1,0,122,1,520100122,Kwahu East,520,6.7936201,-.78230298
86,1,12,1,0,75,11,112100075,Aowin Suaman,112,5.76017,-2.59355
324,3,4,3,9,82,4,304309082,AMA  - Ablekuma North,304,5.599,-.28854999
1062,9,6,1,0,134,1,906100134,Bongo,906,10.9891,-.77149397
614,5,20,1,0,72,1,520100072,Kwahu East,520,6.7145,-.58427399
931,8,10,2,0,49,1,810200049,Yendi,810,9.2468204,.167667
1021,9,2,1,0,125,25,902100125,Kasena Nankana West,902,10.9484,-.94170898
236,2,17,1,0,82,15,217100082,Upper Denkyira West,217,6.1485901,-2.14797
