eanum,reg_code,reg_name,ur,ez,locality_name,dist_name
323,6,Ashanti,2,2,AMUDURASE,Adansi South
324,6,Ashanti,2,2,TURUKROM,Asante Akim South
325,6,Ashanti,2,2,KWAHU PRASO,Asante Akim South
326,6,Ashanti,1,2,KONONGO,Asante-Akyem North
327,6,Ashanti,2,2,ATUNSU (ATONSU),Asante-Akyem North
328,6,Ashanti,1,2,AGOGO,Asante-Akyem North
329,6,Ashanti,2,2,WIOSO,Asante-Akyem North
330,6,Ashanti,2,2,KROFOKROM (NYAME YEADE),Ejisu/Juabeng
331,6,Ashanti,1,2,EJISU,Ejisu/Juabeng
332,6,Ashanti,2,2,ATIA,Ejisu/Juabeng
333,6,Ashanti,2,2,TIKROM,Ejisu/Juabeng
334,6,Ashanti,2,2,AMPABAME NO.2,Bosumtwe/Atwima/Kwanwoma
335,6,Ashanti,2,2,ADUABEN,Bosumtwe/Atwima/Kwanwoma
336,6,Ashanti,2,2,OYOKO,Bosumtwe/Atwima/Kwanwoma
337,6,Ashanti,2,2,AFRANTWO AND ODUMASE,Bosumtwe/Atwima/Kwanwoma
338,6,Ashanti,1,2,DABAN,Kumasi Metro
339,6,Ashanti,1,2,ADIEBEBA,Kumasi Metro
340,6,Ashanti,1,2,PATASI,Kumasi Metro
341,6,Ashanti,1,2,KOKODE,Kumasi Metro
342,6,Ashanti,1,2,TAKYIMAN,Kumasi Metro
343,6,Ashanti,1,2,ADAMANU,Kumasi Metro
344,6,Ashanti,1,2,NORTH SUNTRESO,Kumasi Metro
345,6,Ashanti,1,2,BOHYEN,Kumasi Metro
346,6,Ashanti,1,2,ATONSU-AGOGO,Kumasi Metro
347,6,Ashanti,1,2,ATONSU-AGOGO,Kumasi Metro
348,6,Ashanti,1,2,GYINYASE,Kumasi Metro
349,6,Ashanti,1,2,AHINSAN/AHINSAN ESTATES,Kumasi Metro
350,6,Ashanti,1,2,OFORIKROM,Kumasi Metro
351,6,Ashanti,1,2,BOADI,Kumasi Metro
352,6,Ashanti,1,2,AYIGYA,Kumasi Metro
353,6,Ashanti,1,2,AKOREM,Kumasi Metro
354,6,Ashanti,1,2,ABOABO,Kumasi Metro
355,6,Ashanti,1,2,ASAWASI ZONGO,Kumasi Metro
356,6,Ashanti,1,2,ASOKWA,Kumasi Metro
357,6,Ashanti,1,2,ASAFO,Kumasi Metro
